org_name,prop_name,public_private,address,zip_code,energy_star_score,prop_type,floor_area,floor_area_parking,year_built,total_GHG_emissions,site_EUI,weather_normalized_site_EUI,source_EUI,weather_normalized_source_EUI,water_use
Minneapolis Public Schools,701 Building,Public,701 4th Ave S,55415,87,Office,286640,0,1983,2976,86,89,168,173,1971
Minneapolis Public Schools,Andersen Elementary,Public,2727 10th Ave S,55407,41,K-12 School,233557,0,1976,538,79,83,156,161,3381
Minneapolis Public Schools,Anthony Middle School,Public,5757 Irving Ave S,55419,64,K-12 School,139806,0,1957,1032,84,91,128,136,1602
Minneapolis Public Schools,Anwatin Middle School,Public,256 Upton Ave S,55405,91,K-12 School,173507,0,1960,748,44,49,73,80,2153
Minneapolis Public Schools,Armatage Elementary,Public,2501 West 56th Street,55410,77,K-12 School,91500,0,1952,614,78,85,117,124,1113
Minneapolis Public Schools,Bancroft Elementary,Public,1315 East 38th Street,55407,31,K-12 School,79267,0,1925,617,100,110,139,149,1480
Minneapolis Public Schools,Barton Elementary,Public,4237 Colfax Ave S,55409,70,K-12 School,83752,0,1925,655,77,82,132,138,1168
Minneapolis Public Schools,Bethune,Public,919 Emerson Ave,55411,63,K-12 School,75430,0,1968,651,88,96,147,155,295
Minneapolis Public Schools,Bryn Mawr Elementary,Public,252 Upton Avenue South,55405,75,K-12 School,102658,0,1962,748,70,77,122,130,821
Minneapolis Public Schools,Burroughs Elementary,Public,1601 West 50th Street,55419,85,K-12 School,162320,0,2002,1001,56,59,102,105,1129
Minneapolis Public Schools,City View Elementary,Public,3350 4th Street North,55412,70,K-12 School,132372,0,1999,940,58,62,116,121,964
Minneapolis Public Schools,Davis Center (District Headquarters),Public,1250 West Braodway,55411,96,Office,237742,0,2013,1864,51,52,124,125,1650
Minneapolis Public Schools,Dowling Elementary,Public,3900 West River Parkway,55406,70,K-12 School,90776,0,2007,892,102,111,168,176,1092
Minneapolis Public Schools,Edison Senior High,Public,700 22nd Ave NE,55418,79,K-12 School,279550,0,1925,1767,67,74,108,116,3594
Minneapolis Public Schools,Emerson Elementary,Public,1421 Spruce Place,55403,71,K-12 School,61733,0,1925,534,99,107,150,158,1477
Minneapolis Public Schools,Field Elementary,Public,4645 4th Ave South,55409,37,K-12 School,81171,0,1925,904,100,107,185,192,541
Minneapolis Public Schools,Folwell Elementary,Public,3611 20th Ave S.,55411,60,K-12 School,140629,0,1945,1089,73,79,130,136,970
Minneapolis Public Schools,Green Central Park Elementary,Public,3416 4th Ave S,55408,99,K-12 School,120735,0,1993,423,47,50,63,66,1444
Minneapolis Public Schools,Hale Elementary,Public,1220 East 54th Street,55417,67,K-12 School,81807,0,1930,293,89,96,137,145,96
Minneapolis Public Schools,Hall Elementary,Public,1601 Aldrich Ave N,55411,48,K-12 School,81030,0,1960,800,105,116,169,181,686
Minneapolis Public Schools,Harrison -Other,Public,501 Irving Ave N,55405,88,K-12 School,54793,0,1998,432,67,73,130,136,167
Minneapolis Public Schools,Henry Senior High,Public,4320 Newton Ave N,55412,45,K-12 School,240121,0,1926,2327,88,97,161,172,564
Minneapolis Public Schools,Hiawatha Elementary,Public,4201 42nd Ave S,55406,35,K-12 School,40888,0,1925,484,191,211,224,245,748
Minneapolis Public Schools,Howe Elementary,Public,3733 43rd Ave S.,55411,66,K-12 School,36161,0,1941,366,109,118,174,183,752
Minneapolis Public Schools,Jefferson Elementary,Public,1200 West 26th Street,55405,81,K-12 School,156450,0,1925,935,73,81,105,114,3712
Minneapolis Public Schools,Jenny Lind,Public,5025 Bryant Avenue North,55413,73,K-12 School,96693,0,1995,669,59,61,114,116,759
Minneapolis Public Schools,Jordan Park,Public,1501 30th Ave N,55430,5,K-12 School,123293,0,1999,1982,147,151,268,272,970
Minneapolis Public Schools,Keewaydin Elementary,Public,5209 30th Ave S,55417,48,K-12 School,87000,0,1934,833,88,93,160,165,704
Minneapolis Public Schools,Kenny Elementary,Public,5720 Emerson Ave S,55419,74,K-12 School,61776,0,1954,469,97,105,135,144,750
Minneapolis Public Schools,Kenwood Elementary,Public,2013 Penn Ave S,55405,85,K-12 School,67300,0,1925,448,68,74,113,120,507
Minneapolis Public Schools,Lake Harriet Lower Campus (Audubon),Public,4030 Chowen Ave S,55410,86,K-12 School,85874,0,1925,522,67,73,105,111,571
Minneapolis Public Schools,Lake Harriet Upper Campus (Fulton),Public,4912 Vincent Ave S,55410,69,K-12 School,77238,0,1925,689,100,108,155,163,818
Minneapolis Public Schools,Lincoln Elementary,Public,2131 12th Ave N,55411,13,K-12 School,155831,0,1952,1323,87,95,145,153,1237
Minneapolis Public Schools,Longfellow Elementary,Public,3017 E 31st Street,55406,25,K-12 School,42733,0,1925,498,156,171,210,225,812
Minneapolis Public Schools,Loring Elementary,Public,2600 44th Ave N,55412,83,K-12 School,60096,0,1928,434,87,97,127,138,1664
Minneapolis Public Schools,Lucy Laney Elementary,Public,3333 Penn Ave N,55412,55,K-12 School,111726,0,2000,1082,84,91,160,167,1077
Minneapolis Public Schools,Lyndale Elementary,Public,3333 Grand Ave S,55408,89,K-12 School,97506,0,1966,594,48,51,99,102,1426
Minneapolis Public Schools,Marcy Elementary,Public,415 4th Ave SE,55414,76,K-12 School,78957,0,1992,670,73,77,140,144,1109
Minneapolis Public Schools,Nellie Stone Johnson Elementary,Public,807 27th Ave N,55411,60,K-12 School,125150,0,2001,1046,71,76,138,142,2549
Minneapolis Public Schools,North Senior High,Public,1500 James Ave N,55411,8,K-12 School,290000,0,1972,3888,125,131,224,231,5118
Minneapolis Public Schools,Northeast Middle,Public,2955 Hayes Street NE,55418,31,K-12 School,176336,0,1956,1852,122,131,184,192,2888
Minneapolis Public Schools,Northrop at Ericsson,Public,4315 31st Ave S,55406,71,K-12 School,57874,0,2007,464,90,98,139,147,524
Minneapolis Public Schools,Nutrition Center,Public,812 Plymouth Ave.,55411,12,Refrigerated Warehouse,73143,0,1974,1510,150,156,332,338,1776
Minneapolis Public Schools,Olson Middle School,Public,1607 51st Ave N,55430,47,K-12 School,134959,0,1962,1317,104,114,167,178,1255
Minneapolis Public Schools,Orpheum Theatre,Public,910 Hennepin Ave,55402,0,Performing Arts,75036,0,1921,1039,113,116,224,229,578
Minneapolis Public Schools,Pantages Theatre,Public,710 Hennepin Ave,55402,0,Performing Arts,25000,0,1916,279,108,115,185,195,267
Minneapolis Public Schools,Pillsbury Elementary,Public,2250 Garfield Street NE,55418,80,K-12 School,87705,0,1991,665,67,73,126,132,1454
Minneapolis Public Schools,Pratt Community Center,Public,66 Malcom Street SE,55414,95,K-12 School,42437,0,1925,198,46,50,79,82,981
Minneapolis Public Schools,Ramsey Elem / Washburn Senior,Public,201 West 49th Street,55409,86,K-12 School,403234,0,1925,2492,80,84,110,115,3128
Minneapolis Public Schools,Roosevelt Senior High,Public,4029 28th Ave S,55406,79,K-12 School,324718,0,1925,2200,81,88,119,127,2223
Minneapolis Public Schools,Sanford Middle School,Public,3524 42nd Ave S,55406,68,K-12 School,132893,0,1926,1001,94,103,134,143,1400
Minneapolis Public Schools,Seward Elementary,Public,2309 28th Ave S,55406,82,K-12 School,79692,0,1965,637,69,73,132,136,1983
Minneapolis Public Schools,Sheridan Elementary,Public,1201 University Ave NE,55413,43,K-12 School,148005,0,1932,1171,102,115,141,155,1240
Minneapolis Public Schools,South Senior High,Public,3131 19th Ave S,55407,45,K-12 School,283094,0,1968,2932,91,94,171,175,5234
Minneapolis Public Schools,Southwest Senior High,Public,3414 West 47th street,55410,86,K-12 School,300845,0,1939,2113,68,73,118,123,1880
Minneapolis Public Schools,State Theatre,Public,805 Hennepin Ave,55402,0,Performing Arts,43000,0,1921,423,58,60,153,156,345
