X,Y,F__OBJECTID,LATITUDE,LONGITUDE,APN,APN_text,Address,Property_Name,Year_Endin,ENERGY_STAR_score,Prop_Type,Postal_Code,Prop_Flr_Area,Year_Built,Total_GHG_,Site_Energ,Site_EUI,Weat_Norm_SiteEUI,Source_EUI,Source_Ene,Weat_Norm_Source_EUI,Organizati,water_gallons,ESScore_In
-93.265581130625733,44.978630989880877,51,44.97863,-93.26558,2302924330050,2302924330051,250 4TH ST S,Public Service Center,2012-12-31T06:00:00.000Z,52,Office,55401,93010,1980,1583.3,12048884.2,129.5,144.3,240.2,22344002.1,257.2,City of Minneapolis,1394272,52
-93.264700781647292,44.978230660218294,52,44.97823,-93.2647,2302924330880,2302924330876,333 3RD AVE S #RAMP,Federal Courthouse Ramp,2012-12-31T06:00:00.000Z,Not Available,Parking,55415,Not Available,1997,396.7,2634357.7,25.09,Not Available,Not Available,5619848.8,Not Available,City of Minneapolis,N/A,0
-93.23806573347315,44.900742907817133,53,44.90074,-93.23807,2402824240000,2402824240001,5625 23RD AVE S,Wenonah Elementary,2012-12-31T06:00:00.000Z,20,K-12 School,55417,42648,1952,442.2,4585511.3,107.5,119.7,172.8,7368069.8,185.5,Minneapolis Public Schools,465256,20
-93.300678308776284,44.994127318126985,54,44.99413,-93.30068,1602924340050,1602924340046,1500 JAMES AVE N,North Senior High,2012-12-31T06:00:00.000Z,12,K-12 School,55411,283568,1972,3855.72,32582269.2,114.9,125.8,217.2,61594023.6,228.6,Minneapolis Public Schools,4000304,12
-93.290239885174799,44.996261785349354,55,44.99626,-93.29024,1602924410130,1602924410132,1601 ALDRICH AVE N,Hall Elementary,2012-12-31T06:00:00.000Z,20,K-12 School,55411,79840,1960,705.19,6565657.8,82.2,90.8,143.8,11482388.9,152.8,Minneapolis Public Schools,976140,20
-93.324268068137258,44.918677527393633,56,44.91868,-93.32427,1702824210090,1702824210093,3510 47TH ST W,Southwest Senior High,2012-12-31T06:00:00.000Z,33,K-12 School,55410,254560,1939,2556.77,25266777.7,99.3,112.8,165.6,42154894.8,186,Minneapolis Public Schools,1147432,33
-93.273665968182797,44.97174874338922,57,44.97175,-93.27367,2702924130040,2702924130039,1111 MARQUETTE AVE  #RAMP,Orchestra Hall Ramp #1,2012-12-31T06:00:00.000Z,Not Available,Parking,55403,Not Available,1976,480.1,2205014.8,Not Available,Not Available,Not Available,6923746.5,Not Available,City of Minneapolis,N/A,0
-93.273665968182797,44.97174874338922,58,44.97175,-93.27367,2702924130040,2702924130039,1111 MARQUETTE AVE  #RAMP,Orchestra Hall Ramp #2,2012-12-31T06:00:00.000Z,Not Available,Parking,55403,Not Available,1989,155.8,715715,Not Available,Not Available,Not Available,2247345.2,Not Available,City of Minneapolis,N/A,0
-93.274591232925445,44.970592089044302,59,44.97059,-93.27459,2702924130280,2702924130281,117 12TH ST S #RAMP,Plaza Ramp,2012-12-31T06:00:00.000Z,Not Available,Parking,55403,Not Available,1989,838.1,5160725.4,Not Available,Not Available,Not Available,12580661.9,Not Available,City of Minneapolis,N/A,0
-93.271033904400326,44.970477693390954,60,44.97048,-93.27103,2702924140070,2702924140070,330 12TH ST S,Century Plaza,2012-12-31T06:00:00.000Z,98,Office,55404,297650,1934,2730.29,15931938.7,53.5,55.5,137.9,41058378.1,138.5,Hennepin County,N/A,98
